Country Name,Country Code,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Afghanistan,AFG,345.9258138,353.720597,392.7104656,398.9711165,472.8422916,526.1036756,511.9985148,557.9496921,568.9645435,565.1792733,556.0072209,552.9969077,553.3550517,546.7430101,555.1389963
Angola,AGO,3220.078085,3464.234669,3806.849178,4077.776844,3963.24842,3988.623646,3979.815051,4167.125797,4220.964805,4272.455537,4166.979833,3924.620471,3790.791565,3595.106667,3458.650512
Albania,ALB,2675.507936,2851.367012,3044.895819,3298.478044,3432.169973,3577.113388,3678.046738,3736.339101,3780.698202,3855.759734,3952.802538,4090.371657,4249.803734,4431.539181,4544.515005
United Arab Emirates,ARE,53844.72281,51197.35585,45388.68166,40755.11178,34580.21323,32534.81755,33246.14059,33996.53889,35495.76527,36995.70172,38663.4005,39400.01783,39798.52173,39670.93153,40438.33852
Argentina,ARG,11192.17958,11970.65539,12919.23536,13310.62368,12398.28358,13551.33919,14200.26989,13895.63371,14071.50868,13567.94842,13789.06042,13360.21183,13595.03736,13105.39716,12712.97074
Armenia,ARM,2364.175935,2697.018983,3093.36934,3335.244164,2884.33947,2958.838999,3098.742304,3312.980008,3406.536118,3511.225059,3607.289299,3601.469664,3860.218058,4051.384967,4350.466198
Australia,AUS,50332.87484,50948.22497,52538.97558,53338.60278,53225.95104,53542.83372,54108.11106,55254.60621,55723.94823,56305.97909,56707.02208,57358.7828,57695.57126,58447.25265,58781.04666
Austria,AUT,41264.67242,42479.26415,43920.04645,44422.18747,42638.04137,43317.08506,44433.12737,44531.96912,44281.56633,44227.37868,44178.04738,44572.32282,45263.51656,46170.39489,46650.98628
Azerbaijan,AZE,2631.758979,3501.041807,4326.961571,4692.912192,5023.790765,5215.020912,5152.657444,5194.738377,5425.905285,5505.988236,5500.310382,5270.552968,5229.526137,5262.183805,5348.26526
Burundi,BDI,295.7371646,301.7906504,302.1070711,306.5074152,307.9042658,313.3118179,315.6569231,319.4385338,324.8286607,328.1471959,305.5496525,294.2188482,286.4315278,281.9702323,278.3193713
Belgium,BEL,38410.60159,39132.02306,40274.0279,40135.70565,39009.52956,39761.9314,39913.04049,39959.5003,39954.24627,40405.16818,40991.80814,41301.40652,41808.94556,42376.20576,43053.78859
Benin,BEN,943.6293117,952.8312272,981.4557454,1000.851485,995.6942065,988.6107855,989.7673545,1008.766303,1051.551916,1087.719957,1076.796698,1082.451288,1112.817094,1155.313168,1201.561384
Burkina Faso,BFA,518.1678672,534.3567179,539.8200175,554.1121212,553.5166745,582.4157341,602.5791469,622.5197112,639.2329213,647.4287022,653.3272681,672.3630399,693.7264393,718.6425595,738.2189012
Bangladesh,BGD,769.1359804,809.4736327,856.0459472,897.1890238,931.9865061,972.9096877,1024.021957,1078.287546,1129.993548,1184.863283,1248.45331,1322.694812,1403.861692,1498.387892,1603.953646
Bulgaria,BGR,5230.983704,5629.419867,6044.759412,6459.640912,6288.67741,6427.810062,6605.08982,6693.612364,6693.450153,6796.689119,7074.681023,7341.047614,7599.124957,7859.678037,8234.781334
Bahrain,BHR,22343.53739,22069.28042,22111.68008,21833.41198,21057.42077,20982.34048,20774.24494,21187.54188,22078.99048,22676.62587,22634.08565,22552.68457,22445.45256,21824.20623,21317.33449
Bosnia and Herzegovina,BIH,3501.563492,3691.05004,3909.971505,4132.191153,4027.691282,4095.960731,4185.304033,4215.619738,4390.648706,4518.465786,4729.689959,4940.759769,5150.273169,5387.269436,5578.266314
Belarus,BLR,3880.01437,4294.228672,4684.980291,5180.712344,5203.854887,5621.937175,5938.22068,6047.871129,6110.904667,6212.912772,5967.052204,5811.197944,5964.892944,6165.90933,6264.860965
Belize,BLZ,4773.623885,4874.468356,4773.334098,4814.477032,4704.834741,4728.773622,4706.072991,4709.310616,4663.921511,4747.067099,4770.232656,4671.914983,4663.281516,4707.401416,4701.043306
Bolivia,BOL,2186.186676,2251.274994,2313.891217,2414.973422,2454.800303,2514.434823,2602.71849,2692.607496,2830.673453,2939.47746,3035.971655,3118.913682,3203.004437,3291.156355,3317.370945
Brazil,BRA,7352.282586,7560.70204,7936.824428,8258.615884,8169.26242,8702.255331,8965.620557,9056.580438,9247.573381,9214.977244,8813.989806,8455.312342,8498.293906,8582.338637,8638.282907
Bhutan,BTN,1489.211777,1572.462107,1840.271602,1909.245906,2017.903478,2235.322677,2386.621111,2479.151723,2500.864512,2612.886268,2752.630172,2940.69997,3040.937003,3097.148351,3238.060464
Botswana,BWA,4986.327986,5294.96971,5612.32779,5837.779265,5286.574918,5642.220049,5899.462841,6089.39911,6704.536817,6895.574413,6402.910183,6729.065594,6855.160311,6973.098846,7027.045357
Central African Republic,CAF,454.5074057,466.9768354,479.1921658,480.4109001,513.9373957,531.7129958,550.0198955,575.5018888,365.1161263,364.083958,377.4229177,391.4735346,404.0024591,412.9902027,418.3155518
Canada,CAN,38573.19977,39776.17947,42097.43512,42063.63305,40368.29204,41155.32364,42036.99784,42315.80739,42846.2842,43635.09548,43596.13554,43536.9134,44325.41678,44917.36981,45118.6591
Switzerland,CHE,76784.63733,79367.90023,81804.86184,82997.69216,80262.48564,82026.72451,82677.59903,82800.07408,83344.52337,84348.39282,84776.14217,85570.39606,86119.14537,87980.67069,88413.19171
Chile,CHL,10349.64301,10887.86378,11300.54874,11574.72861,11273.6175,11809.14163,12406.41357,12941.03,13333.34683,13425.68328,13574.16924,13624.67855,13590.99135,13901.01831,13866.95584
China,CHN,3390.71017,3800.759082,4319.023769,4711.635127,5128.895068,5647.058752,6152.686005,6591.650851,7056.410627,7532.771996,8016.431435,8516.513699,9053.212733,9619.192484,10155.41756
Cote d'Ivoire,CIV,1565.428488,1575.142848,1557.908294,1596.255237,1616.378192,1687.216519,1558.968697,1637.392804,1769.214869,1887.16489,1972.545683,2061.215247,2157.245195,2247.776609,2327.745364
Cameroon,CMR,1217.756953,1230.139212,1248.662599,1249.375186,1246.807419,1248.180462,1255.47724,1278.164384,1306.027478,1343.928455,1382.50979,1407.274522,1419.176134,1437.271534,1449.277548
"Congo, Dem. Rep.",COD,363.6675479,370.8858346,381.4555677,392.0747166,390.1121089,404.1516141,417.7570285,432.6784074,453.9989387,480.7661915,497.3170391,492.8027749,494.7812485,506.9582737,512.5863194
"Congo, Rep.",COG,2171.443137,2268.244316,2046.644837,2102.296455,2271.130999,2421.709029,2406.925446,2578.661769,2497.949709,2601.458383,2447.539308,2128.859175,1983.900547,1840.433629,1792.307167
Colombia,COL,4402.899082,4638.471905,4890.277607,4991.789212,4992.823174,5162.705636,5468.19554,5631.21737,5866.873788,6069.186783,6175.87603,6219.149691,6208.98702,6271.875121,6390.368057
Comoros,COM,1182.210908,1184.829327,1166.021015,1183.872149,1192.678434,1208.480763,1227.969072,1237.003155,1261.904692,1258.070703,1242.585608,1254.54004,1273.13658,1290.289966,1284.286519
Costa Rica,CRI,8606.333699,9109.530305,9725.38492,10052.6829,9837.876584,10236.98032,10559.20596,10945.03501,11090.08844,11355.3311,11642.77805,12004.67131,12375.92373,12573.95585,12735.09282
Cuba,CUB,5182.819696,5808.349565,6235.7659,6500.652601,6601.026389,6759.342799,6942.057697,7138.368173,7317.853996,7378.696264,7694.014637,7726.495044,7863.394684,8040.987995,8031.03542
Cyprus,CYP,25629.58417,26393.67865,27154.90072,27447.24093,26181.7436,26019.76438,25466.1084,24216.52852,22682.26657,22513.77926,23408.33668,24805.20256,26013.83282,27161.40335,28211.06465
Czech Republic,CZE,14978.41319,15948.74529,16739.17872,17046.88503,16160.62056,16505.9537,16761.82731,16606.99254,16593.86423,16951.37912,17829.69832,18247.01173,19139.23988,19685.49448,20202.15159
Germany,DEU,35296.27286,36684.6907,37827.14217,38262.9221,36175.84148,37745.73075,39961.26765,40053.2429,40118.87838,40834.73633,41086.72967,41665.27277,42622.40993,42956.01129,43311.62898
Djibouti,DJI,,,,,,,,,2386.248188,2510.94529,2658.949245,2789.69381,2893.758813,3088.56378,3278.527362
Denmark,DNK,51835.83271,53687.44155,53935.87025,53345.35762,50457.23249,51173.46616,51644.46351,51567.04015,51831.79793,52404.76397,53254.85637,54556.06895,55735.7649,56563.48847,57553.13124
Dominican Republic,DOM,4647.037875,5006.552377,5308.632394,5409.947949,5393.470287,5771.918418,5881.135421,5969.352761,6187.283014,6547.307977,6921.520594,7300.033285,7556.85365,7997.761109,8314.344819
Algeria,DZA,3752.096161,3760.155368,3828.148476,3856.407659,3851.213777,3918.48642,3956.895815,4012.361506,4042.923638,4112.076024,4177.889542,4224.037263,4192.337692,4154.219038,4115.39554
Ecuador,ECU,4892.691322,5023.291052,5048.144555,5280.71364,5224.838337,5323.737482,5654.92807,5885.099861,6084.443907,6218.239195,6124.490887,5947.00199,5981.132618,5952.218084,5853.81306
Egypt,EGY,2830.350138,2970.944754,3126.274998,3290.94074,3381.115376,3485.282198,3472.598293,3472.148298,3468.468828,3489.864124,3562.932658,3638.894927,3712.603653,3831.199835,3964.987129
Spain,ESP,26135.65158,26751.88141,27207.87312,27014.81478,25768.92618,25692.36964,25392.74712,24625.27029,24351.46219,24762.38087,25732.01836,26489.65868,27213.45167,27714.65755,28091.01233
Estonia,EST,14625.50435,16148.71176,17452.07837,16600.89051,14199.68319,14579.974,15686.47909,16250.93541,16546.72749,17089.77037,17395.04062,17938.72927,18954.78591,19669.76485,20399.56934
Ethiopia,ETH,310.4826498,334.727438,362.9693134,391.2555721,414.1204941,453.2988293,489.9926725,517.513461,556.3262878,596.455128,640.5419231,682.2393577,727.8440543,757.3504167,799.7951343
Finland,FIN,42513.519,44056.30967,46194.05983,46339.98058,42395.04483,43546.05619,44448.93852,43619.70304,43027.68962,42693.74812,42784.69836,43861.32391,45155.46603,45610.57926,46116.52771
France,FRA,35199.73432,35811.34379,36453.43482,36342.70399,35117.32352,35625.47404,36230.96922,36168.93936,36190.61048,36363.99158,36638.18493,36941.93624,37678.9273,38276.46942,38896.68543
Gabon,GAB,7504.259959,7091.720042,7301.228842,6845.944588,6634.718677,6863.538764,7086.387782,7181.21372,7304.779664,7350.051298,7384.700704,7313.139965,7145.117564,7019.827554,7116.081268
United Kingdom,GBR,43137.25515,43927.88602,44576.36766,44120.92954,41928.60985,42487.92541,42771.64112,43099.59735,43621.05923,44596.18975,45404.56777,46081.71529,46746.64189,47231.33689,47750.87966
Georgia,GEO,2329.570854,2563.543091,2901.104094,2980.309535,2897.130877,3100.723427,3356.997868,3597.203764,3738.70504,3902.568799,4014.185944,4128.385603,4327.727585,4539.087522,4773.423309
Ghana,GHA,1175.86166,1219.562125,1240.161967,1319.173589,1348.341403,1419.120302,1579.699593,1686.069544,1767.80207,1777.096707,1774.074771,1793.180856,1896.366732,1970.260829,2053.586731
Guinea,GIN,661.1025032,654.7476882,683.9001161,696.0313211,672.6307283,689.2566887,711.9908716,737.7130522,749.8700765,759.5878624,769.2554754,830.2461639,890.7886425,920.9642433,945.7693487
Gambia,GMB,711.2819446,686.1299899,686.1423797,707.7285068,732.7855425,753.1767906,671.3696372,685.464249,684.0815346,654.3509339,660.7235712,653.7329927,665.2132215,692.6320982,714.0818299
Greece,GRC,22176.69644,23359.95667,24063.32124,23919.08815,22830.26326,21551.68438,19393.00707,18116.38395,17789.10216,17993.18087,18076.60676,18063.51485,18296.9479,18639.99795,18996.188
Guatemala,GTM,3320.164071,3427.678267,3573.599636,3620.830465,3570.302838,3606.430549,3688.866164,3731.675784,3802.153802,3903.059615,3994.636913,4034.158482,4091.268,4160.071138,4254.035159
Guyana,GUY,3944.444745,4145.784793,4443.072619,4512.38526,4681.648276,4847.43148,5088.607045,5338.712684,5505.389992,5568.218212,5576.825852,5759.691656,5945.068732,6178.889746,6478.287688
"Hong Kong, China",HKG,32401.20688,34457.83319,36371.45588,36923.8554,35938.36813,38089.77894,39656.07762,39887.57824,40959.7278,41796.58925,42431.88828,43084.76508,44384.76858,45284.85959,44189.69253
Honduras,HND,1967.217298,2048.267568,2126.491634,2168.587491,2071.770755,2106.002756,2144.69981,2191.888954,2212.660108,2240.334719,2286.203037,2334.75241,2406.747191,2457.966708,2482.120205
