country,Country Code,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,Average HPI
Afghanistan,AFG,36.09166667,,,37.2,44,47.6,38.3,37.8,35.7,31.3,39.8,42.2,26.6,26.9,25.7,36.09166667
Angola,AGO,,,,,44.2,44.2,55.9,43.6,39.4,37.9,44.2,44.2,44.2,44.2,44.2,44.2
Albania,ALB,,,46.3,,54.9,52.7,58.7,55.1,45.5,48.1,46.1,45.1,46.4,50,48.8,49.80833333
United Arab Emirates,ARE,,67.3,,,68.7,71,71.2,72.2,66.2,65.4,65.7,68.3,70.4,66,67.9,68.35833333
Argentina,ARG,,63.1,60.7,59.6,64.2,64.4,67.8,64.7,65.8,66.7,67,64.3,60.4,57.9,59.7,63.30714286
Armenia,ARM,,42.9,48.8,46.5,41.8,43.7,42.6,43.2,42.8,44.5,43.5,43.3,42.9,50.6,46.8,44.56428571
Australia,AUS,73.4,,72.9,72.5,72.93,74.5,74.1,72,73.6,72.9,73.1,72.5,72.6,71.8,72.2,72.93071429
Austria,AUT,,71.2,,71.8,72.73,73,74.7,74,75,69.5,70.8,70.5,72.9,74,72.9,72.54076923
Azerbaijan,AZE,,47.3,45.7,48.2,45.7,42.2,46.8,49.1,54.8,52.5,51.5,53,51.5,51.7,51.6,49.4
Burundi,BDI,,,,35.6,37.9,35.425,37.1,35.425,35.425,29,35.425,35.425,35.425,37.8,37.8,35.64583333
Belgium,BEL,72.6,,72.2,71.2,69.39,68.5,71.1,69.4,71,68.6,69,69.5,69.3,68.9,68.6,69.94928571
Benin,BEN,,33.3,,36.7,41.56666667,41.56666667,38.7,31.9,34.8,33.5,36.2,40.1,48.5,58.2,52.2,40.55641026
Burkina Faso,BFA,,38,40.2,38.5,42.58,40.4,47.9,39.6,33.3,34.8,44.2,42.1,46.5,49.3,47.7,41.79142857
Bangladesh,BGD,,43.2,46.1,50.5,50.8,48.6,49.9,47.2,46.6,46.4,46.3,45.6,43.1,45,48.3,46.97142857
Bulgaria,BGR,,,38.4,,45.45,39.1,38.8,42.2,39.9,44.4,48.7,48.4,51,51,51,44.8625
Bahrain,BHR,,,,,57,59.4,48.2,50.3,66.9,61.7,60.1,61.7,62.3,62.3,62.3,59.29090909
Bosnia and Herzegovina,BIH,,,49,,49.6,46.7,49.9,47.7,51.2,52.5,51.2,51.8,50.9,58.9,56.7,51.34166667
Belarus,BLR,,56.6,56.2,54.6,55.6,55.3,52.3,57.5,58.8,58.1,57.2,51.8,55.5,52.3,55.4,55.51428571
Belize,BLZ,,,64.5,,59.6,59.6,59.6,59.6,59.6,59.6,59.6,59.6,59.6,59.6,59.6,60.00833333
Bolivia,BOL,,53.7,56.3,53,60.9,57.8,57.8,60.2,57.7,58.6,58.3,57.7,56.5,59.2,57.5,57.51428571
Brazil,BRA,66.4,,63.2,66.9,70,68.4,70.4,66.6,71.4,69.8,65.5,63.7,63.3,61.9,63.8,66.52142857
Bhutan,BTN,,,,,51.96666667,51.96666667,51.96666667,51.96666667,55.7,49.4,50.8,51.96666667,51.96666667,51.96666667,51.96666667,51.96666667
Botswana,BWA,,47.4,,54.5,37.77,35.5,35.2,48.4,41.3,40.3,37.6,35,35,34.6,34.8,39.79769231
Central African Republic,CAF,,,41.6,,33.8,35.7,36.8,33.8,33.8,33.8,33.8,26.9,34.8,33.8,34.8,34.45
Canada,CAN,74.2,,74.8,74.9,74.9,76.5,74.3,74.2,75.9,73,74.1,72.4,74.1,71.8,72.3,74.1
Switzerland,CHE,,74.7,,,75.2,75.48571429,75.48571429,77.8,75.48571429,74.9,75.7,74.6,74.7,75.1,75.6,75.39642857
Chile,CHL,,60.6,57,57.9,64.9,66.4,65.3,66,67.4,68.4,65.3,65.8,63.2,64.4,62.3,63.92142857
China,CHN,,45.6,48.6,48.5,44.5,46.5,50.4,50.9,52.4,52,53,53.2,51,51.3,51.2,49.93571429
Cote d'Ivoire,CIV,,,,,42,45.48571429,45.48571429,45.48571429,37.4,35.7,44.5,45.4,50.4,52.7,52.3,45.16883117
Cameroon,CMR,,38.5,43.5,42.9,47.4,45.5,44.3,42.4,42.7,42.4,50.4,48.2,50.7,52.5,50.8,45.87142857
"Congo, Dem. Rep.",COD,,,,,39.8,43.8875,45.2,46.4,45,44.1,39,45.2,43.1,43.8875,43.1,43.51590909
"Congo, Rep.",COG,,,,38.2,45.34444444,45.34444444,45.1,39.2,39.5,40.6,46.9,41.2,48.8,54.9,51.9,44.74907407
Colombia,COL,,60.2,61.4,61.7,62.7,64.1,64.6,63.7,66.1,64.5,63.9,62.3,61.6,59.8,61.6,62.72857143
Comoros,COM,,,,,34.8,38.1,38.4,39.6,38.91666667,38.91666667,38.91666667,38.91666667,38.91666667,39.7,42.9,38.91666667
Costa Rica,CRI,,70.8,74.3,68.5,76.1,72.7,72.3,72.7,71.6,72.5,68.5,71.4,72.3,71.4,71.2,71.87857143
Cuba,CUB,,54.2,,,54.2,54.2,54.2,54.2,54.2,54.2,54.2,54.2,54.2,54.2,54.2,54.2
Cyprus,CYP,,62.4,,,68.3,63.9,66.9,61.8,54.4,56.3,54.4,57.9,60.6,62.8,61.6,60.94166667
Czech Republic,CZE,64.4,,65,,66.17,62.5,63.3,63.3,67,64.8,66.1,67.4,67.9,70.3,69.1,65.94384615
Germany,DEU,66.2,,64.2,65.2,66.4,67.2,66.2,67,69.7,69.8,70.4,68.7,70.7,71.2,70.8,68.12142857
Djibouti,DJI,,,,50.1,49.1,50.1,43.7,48.25,48.25,48.25,48.25,48.25,48.25,48.25,48.25,48.25
Denmark,DNK,80.2,,78.3,79.7,76.8,77.7,77.9,75.2,75.9,75.1,75.1,75.6,75.9,76.5,76.5,76.88571429
